car_model,price,year_model,kms,color,fueltype
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,62.824,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$25.990.000,2015,170.000,Gris,Gasolina
Renault Logan 1.6 Life,$46.000.000,2020,25.300,Rojo,Gasolina
Renault Logan 1.6 Life,$37.000.000,2020,56.000,Negro,Gasolina
Renault Logan Mod 2022 At,$49.000.000,2022,55.000,Gris,Gasolina
Renault Logan Intens,$43.000.000,2018,77.908,Gris,Gasolina
Renault Logan 1.6 Expression,$52.000.000,2023,22.640,Dorado,Gasolina
Renault Logan 1.6 Privilege / Intens,$50.000.000,2020,23.000,Gris,Gasolina
Renault Logan 1.6 Expression Mt,$36.800.000,2019,62.347,Plateado,Gasolina
Renault Logan 1.6 Life,$41.000.000,2021,33.000,Blanco,Gasolina
Renault Logan 1.6 Expression,$37.500.000,2017,67.000,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$33.900.000,2018,70.000,Plateado,Gasolina
Renault Logan 1.6 Life Mecánico,$41.500.000,2021,54.000,Gris,Gasolina
Renault Logan 1.6 Expression,$38.500.000,2018,43.000,Plateado,Gasolina
Renault Logan 1.6 Expression,$34.500.000,2018,83.000,Blanco,Gasolina
Renault Logan 1.6 Expression Fii,$24.800.000,2012,118.000,Gris,Gasolina
Renault Logan 1.4 Entry Familier,$22.500.000,2011,121.000,Gris,Gasolina
Renault Logan 1.6 Dynamique,$58.000.000,2023,41.000,Gris,Gasolina
Renault Logan 1.6 Expression,$40.500.000,2019,85.585,Color not found,Gasolina
Renault Logan 1.6 Authentique / Life,$43.500.000,2023,22.247,Color not found,Gasolina
Renault Logan 1.6 Privilege / Intens,$40.990.000,2018,44.300,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,53.615,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,55.864,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,59.015,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,60.475,Gris,Gasolina
Renault Logan 1.6 Expression,$33.000.000,2018,94.000,Color not found,Gasolina
Renault Logan 1.6 Dynamique Fii,$32.000.000,2015,48.000,Color not found,Gasolina
Renault Logan 1.6 Expression / Life +,$39.900.000,2022,40.100,Color not found,Gasolina
